storm_id,storm_name,season,datetime,year,month,day,hour,latitude,longitude,max_wind_wmo,min_pressure_wmo,max_wind_usa,min_pressure_usa,storm_speed,storm_direction,distance_to_land
2006060N04141,UNNAMED,2006,2006-03-01 06:00:00.000040293,2006,3,1,6,3.6,141.0,,,15.0,1006.0,5.0,280.0,657.0
2006060N04141,UNNAMED,2006,2006-03-01 09:00:00.000040293,2006,3,1,9,3.6,140.7,,,15.0,1006.0,5.0,280.0,644.0
2006060N04141,UNNAMED,2006,2006-03-01 12:00:00.000040293,2006,3,1,12,3.7,140.5,,,15.0,1006.0,5.0,290.0,646.0
2006060N04141,UNNAMED,2006,2006-03-01 15:00:00.000040293,2006,3,1,15,3.8,140.3,,,15.0,1006.0,4.0,295.0,648.0
2006060N04141,UNNAMED,2006,2006-03-01 18:00:00.000040293,2006,3,1,18,3.9,140.1,,,15.0,1006.0,4.0,285.0,651.0
2006060N04141,UNNAMED,2006,2006-03-01 21:00:00.000040293,2006,3,1,21,3.9,139.9,,,15.0,1006.0,4.0,270.0,644.0
2006060N04141,UNNAMED,2006,2006-03-02 00:00:00.000040293,2006,3,2,0,3.9,139.7,,,15.0,1006.0,4.0,285.0,638.0
2006060N04141,UNNAMED,2006,2006-03-02 03:00:00.000040293,2006,3,2,3,4.0,139.5,,,15.0,1006.0,4.0,305.0,644.0
2006060N04141,UNNAMED,2006,2006-03-02 06:00:00.000040293,2006,3,2,6,4.1,139.4,,,15.0,1006.0,3.0,300.0,652.0
2006060N04141,UNNAMED,2006,2006-03-02 09:00:00.000040293,2006,3,2,9,4.2,139.2,,,18.0,1005.0,3.0,290.0,659.0
2006060N04141,UNNAMED,2006,2006-03-02 12:00:00.000040293,2006,3,2,12,4.2,139.1,,,20.0,1004.0,3.0,300.0,657.0
2006060N04141,UNNAMED,2006,2006-03-02 15:00:00.000040293,2006,3,2,15,4.3,139.0,,,20.0,1004.0,3.0,315.0,667.0
2006060N04141,UNNAMED,2006,2006-03-02 18:00:00.000040293,2006,3,2,18,4.4,138.9,,,20.0,1004.0,3.0,315.0,671.0
